run_id,environment,seed,algorithm,learning_rate,steps,batch_size,buffer_size,epochs,num_agents,total_time,average_cpu,average_ram,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,step_interval,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold
R_AK_3DBall_2109,3DBall,2109,ppo,0.000290456777881,500000,87,16313,3.0,12.0,234,42.7,83.3,1.2102,12000,98.5,442000,100.0,144000,0.086,24000,0.5407,24000,1.3945,12000,480000,2.5657600000000005,60000.0,23.4,2025-11-21_09-33,1
R_AK_3DBall_2110,3DBall,2110,ppo,0.0008803538519038,500000,102,19309,3.0,12.0,234,42.2,83.5,1.1941,12000,95.7048,442000,100.0,156000,0.0787,24000,0.312,24000,1.3959,12000,480000,2.5657600000000005,60000.0,23.4,2025-11-21_09-33,1
R_AK_3DBall_2111,3DBall,2111,ppo,0.0002566200330483,500000,184,34604,3.0,12.0,212,27.5,83.0,1.2269,12000,100.0,442000,100.0,324000,0.0583,36000,0.2884,36000,1.4171,12000,480000,2.5657600000000005,120000.0,47.6,2025-11-21_09-33,1
R_AK_3DBall_2112,3DBall,2112,ppo,0.0008894789570823,500000,43,8236,3.0,12.0,252,45.8,82.8,1.3761,12000,100.0,442000,100.0,96000,0.1206,12000,1.0454,12000,1.3627,12000,480000,2.5657600000000005,36000.0,12.6,2025-11-21_09-33,1
R_AK_3DBall_2113,3DBall,2113,ppo,0.0003413181815241,500000,151,28369,3.0,12.0,213,28.1,83.3,1.1373,12000,100.0,442000,100.0,252000,0.065,36000,0.2536,36000,1.417,12000,480000,2.5657600000000005,96000.0,37.2,2025-11-21_09-33,1
R_AK_3DBall_2114,3DBall,2114,ppo,0.0008865070818249,500000,34,6452,3.0,12.0,310,47.5,82.3,1.773,12000,94.2776,442000,100.0,132000,0.1376,12000,1.1832,12000,1.3205,12000,480000,2.5657600000000005,36000.0,15.5,2025-11-21_09-33,1
R_AK_3DBall_2115,3DBall,2115,ppo,0.000554833225968,500000,73,13731,3.0,12.0,218,27.1,82.9,1.1488,12000,100.0,442000,100.0,168000,0.0934,24000,0.3334,24000,1.3994,12000,480000,2.5657600000000005,72000.0,27.2,2025-11-21_09-33,1
R_AK_3DBall_2116,3DBall,2116,ppo,0.0004128083956244,500000,102,19294,3.0,12.0,242,41.4,83.2,1.1535,12000,96.1592,442000,100.0,204000,0.0784,24000,0.2907,24000,1.404,12000,480000,2.5657600000000005,72000.0,30.2,2025-11-21_09-33,1
R_AK_3DBall_2117,3DBall,2117,ppo,0.0007306364714301,500000,145,27374,3.0,12.0,228,38.2,83.1,1.1301,12000,98.48,442000,100.0,252000,0.0673,36000,0.3495,36000,1.4075,12000,480000,2.5657600000000005,96000.0,39.9,2025-11-21_09-33,1
R_AK_3DBall_2118,3DBall,2118,ppo,0.0005660644183243,500000,94,17779,3.0,12.0,237,43.2,83.5,1.11,12000,100.0,442000,100.0,168000,0.0787,24000,0.3832,24000,1.4028,12000,480000,2.5657600000000005,72000.0,29.6,2025-11-21_09-33,1
