run_id,environment,seed,num_agents,algorithm,steps,batch_size,buffer_size,learning_rate,epochs,total_time,average_cpu,average_ram,reward_mean,reward_mean_step,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,step_interval,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold,notes
R_AK_3DBall_2522,3DBall,2522,12.0,ppo,500000,141,26600,5.5753132546634e-05,3.0,229,44.9,85.0,-0.3861889405912477,12000,-0.7631796685563242,12000,0.7173596335131767,442000,0.6270461975427244,300000,480000,-0.06506047271253582,36000,-0.5009802513341778,36000,0.7925426624576345,12000,2.5657600000000005,120000,51.5,2025-11-21_09-33,,
R_AK_3DBall_2523,3DBall,2523,12.0,ppo,500000,144,27169,0.0001838148530181,3.0,230,44.6,85.1,-0.35747680669177595,12000,-0.22586679649871927,12000,0.7173596335131767,442000,0.6270461975427244,264000,480000,-0.05010611917554471,36000,-0.48634923232159466,36000,0.5376582269006271,12000,2.5657600000000005,96000,40.2,2025-11-21_09-33,,
R_AK_3DBall_2524,3DBall,2524,12.0,ppo,500000,52,9866,6.829360133178191e-05,3.0,291,52.2,84.9,0.22866977925758472,12000,0.832639561454766,12000,0.6564496394786515,442000,0.6270461975427244,108000,480000,0.25610207229617743,12000,1.188051803978895,12000,0.08099027986097236,12000,2.5657600000000005,48000,21.8,2025-11-21_09-33,,
R_AK_3DBall_2525,3DBall,2525,12.0,ppo,500000,181,34111,4.8625013669368856e-05,3.0,225,38.3,84.9,-0.399934845914411,12000,-0.6933289951888363,12000,-0.15001179327886097,442000,0.07934705337300493,432000,480000,-0.1141962057626494,36000,-0.3873346617945795,36000,0.7500619231981372,12000,2.5657600000000005,216000,95.5,2025-11-21_09-33,,
R_AK_3DBall_2526,3DBall,2526,12.0,ppo,500000,101,19070,0.0002025401720788,3.0,233,45.0,85.0,-0.3299389461113684,12000,-0.5329027233887802,12000,0.7173596335131767,442000,0.6270461975427244,192000,480000,0.0317867692413112,24000,-0.6289166036302526,24000,0.5217279496783039,12000,2.5657600000000005,72000,29.1,2025-11-21_09-33,,
R_AK_3DBall_2527,3DBall,2527,12.0,ppo,500000,146,27432,0.0008515016538806,3.0,229,43.9,84.7,-0.3477832955677362,12000,-0.49222046307584655,12000,0.7173596335131767,442000,0.6270461975427244,228000,480000,-0.06078780027339549,36000,-0.5013205075902843,36000,0.4049059167146746,12000,2.5657600000000005,96000,40.0,2025-11-21_09-33,,
R_AK_3DBall_2528,3DBall,2528,12.0,ppo,500000,122,23058,0.000661805999342,3.0,231,44.1,84.8,-0.35694723244984505,12000,-0.833797931741039,12000,0.6803785657065008,442000,0.6270461975427244,204000,480000,-0.03443965356536362,24000,-0.7170429739618573,24000,0.054439817823786554,12000,2.5657600000000005,84000,34.6,2025-11-21_09-33,,
R_AK_3DBall_2529,3DBall,2529,12.0,ppo,500000,47,8855,0.0008527688539902,3.0,228,32.7,84.9,0.9546469900437472,12000,1.5518712201947324,12000,0.6694198326799858,442000,0.6270461975427244,96000,480000,0.31307103815138154,12000,2.5147109465384583,12000,-2.080217329966188,12000,2.5657600000000005,36000,11.4,2025-11-21_09-33,,
R_AK_3DBall_2530,3DBall,2530,12.0,ppo,500000,37,7097,0.000316065133323,3.0,235,32.6,85.1,1.6419652811689531,12000,1.270165757273102,12000,0.7173596335131767,442000,0.6270461975427244,96000,480000,0.387842805836337,12000,2.665104211737568,12000,-1.4164557790364722,12000,2.5657600000000005,36000,11.7,2025-11-21_09-33,,
R_AK_3DBall_2531,3DBall,2531,12.0,ppo,500000,185,34768,0.0001165091005316,3.0,250,50.2,85.2,-0.3797189248528744,12000,-0.6987021239094118,12000,0.5745633440901785,442000,0.6270461975427244,336000,480000,-0.12131732649454988,36000,-0.8289872822209229,36000,0.6863408143088795,12000,2.5657600000000005,120000,56.2,2025-11-21_09-33,,
