run_id,environment,seed,algorithm,learning_rate,steps,batch_size,buffer_size,epochs,num_agents,total_time,average_cpu,average_ram,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,step_interval,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold
R_AK_3DBall_2254,3DBall,2254,ppo,0.0008904312830875,500000,115,21636,3.0,12.0,296,50.0,83.5,-0.4438623045906622,12000,0.7173596335131767,442000,0.6270461975427244,144000,-0.004530946491381483,24000,-0.20393653975313178,24000,-0.6942832116249358,12000,480000,2.5657600000000005,60000.0,29.6,2025-11-21_09-33,1
R_AK_3DBall_2255,3DBall,2255,ppo,0.0003797957949875,500000,52,9874,3.0,12.0,307,52.1,82.9,1.0590785575361847,12000,0.6035879694275694,442000,0.6270461975427244,144000,0.25396573607660733,12000,1.46331911516912,12000,-1.124400696627393,12000,480000,2.5657600000000005,36000.0,15.4,2025-11-21_09-33,1
R_AK_3DBall_2256,3DBall,2256,ppo,0.0007694734223986,500000,135,25461,3.0,12.0,266,46.2,83.4,0.21165939931961847,12000,0.6576465824468771,442000,0.6270461975427244,216000,-0.03800021393131388,36000,-0.0712365998715647,36000,-0.12079323162166335,12000,480000,2.5657600000000005,72000.0,33.2,2025-11-21_09-33,1
R_AK_3DBall_2257,3DBall,2257,ppo,0.0002104032738993,500000,60,11314,3.0,12.0,278,47.4,83.2,0.13950595650045364,12000,0.7150005135550555,442000,0.6270461975427244,108000,0.22049646863667482,12000,0.6824310074045142,12000,-0.003971198658022219,12000,480000,2.5657600000000005,48000.0,20.9,2025-11-21_09-33,1
R_AK_3DBall_2258,3DBall,2258,ppo,0.0008879661633656,500000,112,21020,3.0,12.0,219,32.2,83.4,0.11801344161814835,12000,0.7173596335131767,442000,0.6270461975427244,168000,-0.00025827405224115017,24000,-0.4795441071994632,24000,0.20312240523205066,12000,480000,2.5657600000000005,72000.0,27.4,2025-11-21_09-33,1
R_AK_3DBall_2259,3DBall,2259,ppo,0.0001944631699462,500000,58,11020,3.0,12.0,318,49.9,83.3,1.428289259621483,12000,0.6797279452548924,442000,0.6270461975427244,144000,0.2418598308323764,12000,1.5994216176117524,12000,-0.4340886836604794,12000,480000,2.5657600000000005,48000.0,23.9,2025-11-21_09-33,1
R_AK_3DBall_2260,3DBall,2260,ppo,0.0006083006811456,500000,172,32409,3.0,12.0,261,44.3,83.7,-0.7255677675122926,12000,0.7173596335131767,442000,0.6270461975427244,288000,-0.09852974015246826,36000,-0.8926152021128535,36000,0.6651004446791309,12000,480000,2.5657600000000005,108000.0,52.2,2025-11-21_09-33,1
R_AK_3DBall_2261,3DBall,2261,ppo,0.0006892770133058,500000,157,29441,3.0,12.0,285,47.2,83.3,-0.20897982051976607,12000,0.7032471295952787,442000,0.6270461975427244,228000,-0.07716637795676674,36000,-0.8633531640876877,36000,0.0756801874535352,12000,480000,2.5657600000000005,72000.0,35.6,2025-11-21_09-33,1
R_AK_3DBall_2262,3DBall,2262,ppo,0.0002268737706201,500000,50,9411,3.0,12.0,298,50.1,82.6,1.2770740656281276,12000,0.7173596335131767,442000,0.6270461975427244,132000,0.27461698619911884,12000,1.9828904182438705,12000,-0.7951749673662536,12000,480000,2.5657600000000005,36000.0,14.9,2025-11-21_09-33,1
R_AK_3DBall_2263,3DBall,2263,ppo,0.0007904038363383,500000,72,13574,3.0,12.0,225,32.2,82.4,-0.07081365341923865,12000,0.7173596335131767,442000,0.6270461975427244,156000,0.14073991643938905,24000,1.2622276678101298,24000,-1.0712997725530096,12000,480000,2.5657600000000005,60000.0,22.5,2025-11-21_09-33,1
